id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
76,Static Summer,Grid Wave,electronic,happy,0.86,138,0.80,0.90,0.06
77,Deep Scan,Binary Pulse,electronic,focused,0.80,128,0.58,0.86,0.05
78,Rave Circuit,Neon Core,electronic,intense,0.95,152,0.65,0.96,0.03
79,Dark Matter,Void Sync,electronic,moody,0.82,132,0.40,0.88,0.04
80,Crossroads Lament,Hollow Tide,blues,sad,0.42,76,0.30,0.48,0.86
81,Smoky Bar,Deep Root,blues,melancholic,0.52,88,0.40,0.58,0.78
82,Late Night Blues,Old Wire,blues,moody,0.48,80,0.35,0.52,0.82
83,Delta Road,River Drum,blues,nostalgic,0.60,98,0.50,0.62,0.72
84,Flashback Summer,Coastal Line,pop,nostalgic,0.72,112,0.68,0.76,0.28
85,Winter Window,Echo Shore,pop,sad,0.58,100,0.32,0.62,0.35
86,Slow Dance,Glass Twins,indie pop,romantic,0.60,106,0.78,0.66,0.44
87,Bedroom Radio,Soft Shore,indie pop,chill,0.52,98,0.66,0.60,0.50
88,Pressure,Stone Gate,hip-hop,angry,0.90,108,0.38,0.86,0.06
89,Goodbye Rain,Satin Wave,r&b,sad,0.50,80,0.30,0.58,0.58
90,Morning Session,Five Keys,jazz,focused,0.48,100,0.64,0.65,0.82
91,Old Roads,Still Water,ambient,nostalgic,0.20,60,0.62,0.24,0.95
92,Workshop Hours,Cedar Line,folk,focused,0.42,90,0.55,0.48,0.88
93,Rodeo Rush,Lone Star Road,country,energetic,0.78,132,0.82,0.82,0.55
94,Old Circuit,Grid Wave,electronic,nostalgic,0.76,122,0.72,0.84,0.08
95,Gray Afternoon,Dusk Tape,lofi,sad,0.28,66,0.32,0.44,0.84
96,Porch Blues,Old Wire,blues,relaxed,0.38,72,0.52,0.44,0.88
97,Prelude in G,Ivory Keys,classical,focused,0.40,96,0.60,0.35,0.96
98,Slow Synth,Crystal Drive,synthwave,romantic,0.68,102,0.78,0.72,0.14
99,Broken Static,Static Nerve,rock,sad,0.72,112,0.28,0.55,0.20
100,Pure Force,Grind Zero,metal,focused,0.94,172,0.30,0.48,0.04
